governorate,delegation,constituency,candidate,votes,vote_source,votes_digits_ocr,votes_words_ocr,year,source_file,drive_id
الكاف,الجريصه,,ليلي سبيعي,205,agree,205,مايتان وخمسه,2023,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,"الجريصه الشماليه,",شاديه الحسناوي,57,words-only,,سبعهوخمسون,2023,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,"الجريصه الشماليه,",لطفي قرطاس,120,words-only,,مايه وعشرون,2023,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,"الجريصه الشماليه,",مريم برهوميه,38,words-only,,ثمانيه وثلاثون,2023,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,"الجريصه المركزيه,",احمد طاهري,145,agree,145,مايه وخمسه واربعون,2023,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,"الجريصه المركزيه,",قيس مشلاوي,52,agree,52,اثنان وخمسون,2023,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,"الجريصه المركزيه,",جلال خمامي,50,agree,50,خمسون,2023,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,فج التمرء تصرح البييه,زعره حيدري,103,agree,103,مايه وثلاثه,2023,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الجريصه,فج التمرء تصرح البييه,حاتم علوي,154,agree,154,مايه واربعه وخمسون,2023,قرار الهيئة لمعتمدية الجريصة__58__الكاف.PDF,178do27HT8i4YGX1yFzLTbNNQLxQHiUao
الكاف,الدهماني,ابه,فراس قيزاني,174,agree,174,مايه واربعه وسبعون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,ابه,ماجد التابعي,130,agree,130,مايه وثلاثون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,الدهماني الشماليه,"ياسر فريجي مايتاه,وكمسهوستون",265,digits-only,265,,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,الدهماني الشماليه,فايزه الضبايبي,168,agree,168,مايه وثمانيه وستون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,الدهماني الشماليه,معز مرايجي,66,agree,66,ستهوستون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,الدهماني الشماليه,الصحبي الشابي,79,agree,79,تسعه وسبعون,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
الكاف,الدهماني,الدهماني الشماليه,لطفي الاينوبلي,115,agree,115,مايه وخمسه عشر,2023,قرار الهيئة لمعتمدية الدهماني__59__الكاف.PDF,1xtjadNB1gjTtcLgS1jsH4wBWk4rPTtF1
